,link,brief,id,price,price_per_unit,address,facilities_key,facilities_value
0,https://propzy.vn/mua/can-ho/hcm/quan-5/id387193,Bán Chung Cư Cũ Gò Công Quận 5 - Gần Chợ Kim Biên,id387193,750 triệu,"53,57 triệu/m²","Đ.Gò Công, P.13, Q.5, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['1', '1', '14m²', 'Đông']"
1,https://propzy.vn/mua/can-ho/hcm/huyen-binh-chanh/id417224,Bán căn hộ nhà ở xã hội huyện Bình Chánh,id417224,780 triệu,"22,34 triệu/m²","Đ.Hương Lộ 80, X.Vĩnh Lộc A, H.Bình Chánh,","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage']","['1', '1', '34.91m²']"
2,https://propzy.vn/mua/nha/hcm/quan-10/id391821,Bán nhà hẻm an ninh Hồ Thị Kỷ P1 Q10 - Nhà kiên cố ở ngay,id391821,900 triệu,"209,3 triệu/m²","Đ.Hồ Thị Kỷ, P.1, Q.10, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['2', '1', '4.3m²', 'Đ.Bắc']"
3,https://propzy.vn/mua/nha/hcm/quan-4/id345253,"Bán nhà hẻm quận 4 - Nhà nhỏ, thích hợp gia đình nhỏ ở",id345253,930 triệu,"91,17 triệu/m²","Đ.Tôn Đản, P.10, Q.4, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['1', '1', '10.2m²', 'Đ.Nam']"
4,https://propzy.vn/mua/dat-nen/hcm/huyen-hoc-mon/id377209,"Bán lô đất nông nghiệp, diện tích 96.1m2 Tân Hiệp Hóc Môn",id377209,950 triệu,"9,88 triệu/m²","Đ.TL15, X.Tân Hiệp, H.Hóc Môn, Hồ Chí Minh","['ic ic-acreage', 'ic ic-compass']","['96.1m²', 'T.Nam']"
5,https://propzy.vn/mua/nha/hcm/huyen-nha-be/id408203,"Bán Nhà Hẻm Xã Phú Xuân, Huyện Nhà Bè- Chỉ 3 phút di chuyển ra Phà Bình Khánh",id408203,950 triệu,"47,97 triệu/m²","Đ.Huỳnh Tấn Phát, X.Phú Xuân, H.Nhà Bè,","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['2', '1', '19.8m²', 'Đông']"
6,https://propzy.vn/mua/dat-nen/hcm/huyen-binh-chanh/id314361,"Bán đất nền Xã Qui Đức, Huyện Bình Chánh - Sổ hồng riêng chính chủ",id314361,950 triệu,"18,44 triệu/m²","Đ.Qui Đức, X.Quy Đức, H.Bình Chánh, Hồ Chí Minh",['ic ic-acreage'],['51.5m²']
7,https://propzy.vn/mua/can-ho/hcm/quan-5/id207883,Bán Căn Hộ Chung Cư lầu 4 đường Gò Công - Trung Tâm Quận 5 - Gần chợ Kim Biên,id207883,1 tỷ,"22,67 triệu/m²","Đ.Gò Công, P.13, Q.5, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['1', '1', '44.1m²', 'Tây']"
8,https://propzy.vn/mua/nha/hcm/quan-6/id315476,Bán nhà nhỏ Quận 6 - Gần chung cư Summer square - Đang cho thuê 3 triệu/ 1 tháng,id315476,1 tỷ,"94,33 triệu/m²","Đ.An Dương Vương, P.13, Q.6, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['1', '1', '10.6m²', 'Tây']"
9,https://propzy.vn/mua/can-ho/hcm/quan-7/id393792,"Bán  căn hộ Res III, 1PN, 1WC,  Phường Tân Phú, Quận 7",id393792,"1,05 tỷ","29,16 triệu/m²","Đ.Tân Mỹ, P.Tân Phú, Q.7, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage']","['1', '1', '36m²']"
