,link,brief,id,price,price_per_unit,address,facilities_key,facilities_value
0,https://propzy.vn/mua/dat-nen/hcm/quan-2/id305298,"Bán lô đất rộng gần 2.000m2, mặt tiền đường Trần Não, phường Bình An, Quận 2.",id305298,610 tỷ,"305,41 triệu/m²","Đ.Trần Não, P.Bình An, Q.2, Hồ Chí Minh","['ic ic-acreage', 'ic ic-compass']","['1997.3m²', 'T.Bắc']"
1,https://propzy.vn/mua/nha/hcm/quan-6/id348302,"Xường bán Hậu Giang P11 Q6 - 37.4 x 56.59m - Vị thế đẹp, gần Công An Q6, phù hợp kinh doanh, sản xuất,..",id348302,320 tỷ,100 triệu/m²,"Đ.Hậu Giang, P.11, Q.6, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['1', '2', '3199.7m²', 'Đông']"
2,https://propzy.vn/mua/nha/hcm/quan-binh-thanh/id412503,"Bán nhà và xưởng đang kinh doanh ở Bình Quới Quận Bình Thạnh - Diện tích lớn, sổ hồng riêng",id412503,306 tỷ,"111,89 triệu/m²","Đ.Bình Quới, P.28, Q.Bình Thạnh, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['7', '7', '2734.6m²', 'T.Bắc']"
3,https://propzy.vn/mua/dat-nen/hcm/quan-2/id236736,"Bán đất sản xuất nông nghiệp, gần cảng Cát Lái thích hợp làm kho bãi, phường Thạnh Mỹ Lợi, Quận 2.",id236736,270 tỷ,27 triệu/m²,"Đ.B, P.Thạnh Mỹ Lợi, Q.2, Hồ Chí Minh","['ic ic-acreage', 'ic ic-compass']","['10000m²', 'Đ.Bắc']"
4,https://propzy.vn/mua/nha/hcm/quan-go-vap/id403577,Bán tòa nhà mặt tiền đường Quận Gò Vấp - Nhà mới đang cho thuê,id403577,260 tỷ,"175,71 triệu/m²","Đ.Trần Bình Trọng, P.1, Q.Gò Vấp, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['81', '81', '1479.7m²', 'Đ.Bắc']"
5,https://propzy.vn/mua/dat-nen/hcm/huyen-nha-be/id387002,BÁN ĐẤT NỀN MẶT TIỀN ĐƯỜNG XÃ LONG THỚI HUYỆN NHÀ BÈ,id387002,260 tỷ,"31,75 triệu/m²","Đ.Nguyễn Văn Tạo, X.Long Thới, H.Nhà Bè,","['ic ic-acreage', 'ic ic-compass']","['8188.4m²', 'T.Nam']"
6,https://propzy.vn/mua/nha/hcm/quan-tan-binh/id318507,"Bán nhà có đất diện tích lớn 1500m2 trung tâm P14, quận Tân Bình",id318507,250 tỷ,"166,66 triệu/m²","Đ.Trường Chinh, P.14, Q.Tân Bình, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['8', '10', '1500m²', 'Đông']"
7,https://propzy.vn/mua/nha/hcm/quan-6/id262229,Bán Nhà Kho Diện Tích Lớn Mặt Tiền Đường Vị Trí Sầm Uất P12 Q6 - 2403.2m2,id262229,"240,32 tỷ",100 triệu/m²,"Đ.Hậu Giang, P.12, Q.6, Hồ Chí Minh","['ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['1', '2403.2m²', 'Nam']"
8,https://propzy.vn/mua/nha/hcm/quan-go-vap/id412856,Bán nhà mặt tiền đường quận Gò Vấp - kinh doanh sầm uất,id412856,200 tỷ,200 triệu/m²,"Đ.Nguyễn Văn Nghi, P.7, Q.Gò Vấp, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['4', '4', '1000m²', 'Nam']"
9,https://propzy.vn/mua/dat-nen/hcm/quan-thu-duc/id265270,"Bán lô đất hơn 20,000m2 ngay mặt tiền đường Phường Linh Xuân, Quận Thủ Đức",id265270,200 tỷ,"9,84 triệu/m²","Đ.Số 15, P.Linh Xuân, Q.Thủ Đức, Hồ Chí Minh","['ic ic-acreage', 'ic ic-compass']","['20310m²', 'T.Nam']"
10,https://propzy.vn/mua/nha/hcm/quan-phu-nhuan/id329573,Bán nhà mặt tiền quận Phú Nhuận phường 8,id329573,200 tỷ,"126,23 triệu/m²","Đ.Nguyễn Đình Chính, P.8, Q.Phú Nhuận,","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['1', '1', '1584.3m²', 'T.Nam']"
11,https://propzy.vn/mua/dat-nen/hcm/quan-go-vap/id420125,Bán đất nền Quận Gò Vấp - Mặt tiền đường 8m - Đất ở tại đô thị 100%,id420125,180 tỷ,"138,72 triệu/m²","Đ.Trần Bình Trọng, P.1, Q.Gò Vấp, Hồ Chí Minh","['ic ic-acreage', 'ic ic-compass']","['1297.5m²', 'Đông']"
12,https://propzy.vn/mua/dat-nen/hcm/quan-2/id407123,"Bán lô đất mặt tiền đường phường Bình An, Quận 2 - Gần ngay UBND Phường Bình Khánh",id407123,179 tỷ,"289,31 triệu/m²","Đ.số 18, P.Bình An, Q.2, Hồ Chí Minh","['ic ic-acreage', 'ic ic-compass']","['618.7m²', 'T.Nam']"
