,item_code,item_name,bedroom,bathroom,area,direction,address,details_property,total_price,unit_price,gross_unit_price,payment,utility
0,387193,Bán Chung Cư Cũ Gò Công Quận 5 - Gần Chợ Kim Biên,1,1,14 m²,Đông,"Đ.Gò Công, P.13, Q.5, Hồ Chí Minh",['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n1\nPhòng tắm\n1\nDiện tích sử dụng\n14 m²\nHướng\nĐông\nHiện trạng nhà\nĐể trống\nGiấy tờ\nSổ hồng'],750 triệu,Na,"53,5 triệu/m²","7,74 triệu/tháng",Na
1,417224,Bán căn hộ nhà ở xã hội huyện Bình Chánh,1,1,34.91 m²,Không xác định,"Đ.Hương Lộ 80, X.Vĩnh Lộc A, H.Bình Chánh, Hồ Chí Minh",['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n1\nPhòng tắm\n1\nDiện tích sử dụng\n34.91 m²\nHướng\nKhông xác định\nHiện trạng nhà\nĐể trống\nGiấy tờ\nKhác'],780 triệu,Na,"22,3 triệu/m²","8,05 triệu/tháng",Na
2,391821,Bán nhà hẻm an ninh Hồ Thị Kỷ P1 Q10 - Nhà kiên cố ở ngay,2,1,4.3 m²,Đ.Bắc,"Đ.Hồ Thị Kỷ, P.1, Q.10, Hồ Chí Minh",['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n2\nPhòng tắm\n1\nChiều dài\n2.11 m\nChiều rộng\n2.22 m\nDiện tích đất\n4.3 m²\nDiện tích sử dụng\n12.9 m²\nHướng\nĐ.Bắc\nĐộ rộng hẻm\n1 m\nHiện trạng nhà\nĐể trống\nGiấy tờ\nSổ hồng\nKết cấu nhà\n1 trệt + 2 lầu'],900 triệu,"196,5 triệu/m²","209,3 triệu/m²","9,29 triệu/tháng",Na
3,345253,"Bán nhà hẻm quận 4 - Nhà nhỏ, thích hợp gia đình nhỏ ở",1,1,10.2 m²,Đ.Nam,"Đ.Tôn Đản, P.10, Q.4, Hồ Chí Minh",['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n1\nPhòng tắm\n1\nChiều dài\n4 m\nChiều rộng\n2.5 m\nDiện tích đất\n10.2 m²\nDiện tích sử dụng\n20.4 m²\nHướng\nĐ.Nam\nĐộ rộng hẻm\n1.8 m\nHiện trạng nhà\nĐang ở\nGiấy tờ\nSổ hồng\nKết cấu nhà\n1 trệt + 1 lầu'],930 triệu,"83,7 triệu/m²","91,1 triệu/m²","9,6 triệu/tháng","Gần chợ, siêu thị
Gần trường học
Di chuyển thuận tiện ra trung tâm
Thiết kế thông thoáng
Khu vực an ninh, yên tĩnh"
4,377209,"Bán lô đất nông nghiệp, diện tích 96.1m2 Tân Hiệp Hóc Môn",Na,Na,96.1 m²,T.Nam,"Đ.TL15, X.Tân Hiệp, H.Hóc Môn, Hồ Chí Minh",['CHI TIẾT BẤT ĐỘNG SẢN\nChiều dài\n19.4 m\nChiều rộng\n5 m\nDiện tích đất\n96.1 m²\nHướng\nT.Nam\nĐộ rộng hẻm\n2 m\nHiện trạng nhà\nĐể trống\nGiấy tờ\nSổ hồng'],950 triệu,Na,"9,8 triệu/m²","9,8 triệu/tháng","Gần chợ, siêu thị
Gần trường học
Gần mặt tiền đường"
5,408203,"Bán Nhà Hẻm Xã Phú Xuân, Huyện Nhà Bè- Chỉ 3 phút di chuyển ra Phà Bình Khánh",2,1,19.8 m²,Đông,"Đ.Huỳnh Tấn Phát, X.Phú Xuân, H.Nhà Bè, Hồ Chí Minh",['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n2\nPhòng tắm\n1\nChiều dài\n6 m\nChiều rộng\n3.3 m\nDiện tích đất\n19.8 m²\nDiện tích sử dụng\n39.6 m²\nHướng\nĐông\nĐộ rộng hẻm\n2 m\nHiện trạng nhà\nĐang ở\nGiấy tờ\nSổ hồng\nKết cấu nhà\n1 trệt + 1 lầu'],950 triệu,"40,5 triệu/m²","47,9 triệu/m²","9,8 triệu/tháng","Gần chợ, siêu thị
Gần trường học
Di chuyển thuận tiện ra trung tâm
Thiết kế thông thoáng
Khu vực an ninh, yên tĩnh"
6,314361,"Bán đất nền Xã Qui Đức, Huyện Bình Chánh - Sổ hồng riêng chính chủ",Na,Na,51.5 m²,Không xác định,"Đ.Qui Đức, X.Quy Đức, H.Bình Chánh, Hồ Chí Minh",['CHI TIẾT BẤT ĐỘNG SẢN\nChiều dài\n13.28 m\nChiều rộng\n4 m\nDiện tích đất\n51.5 m²\nHướng\nKhông xác định\nĐộ rộng hẻm\n4 m\nHiện trạng nhà\nĐể trống\nGiấy tờ\nSổ hồng'],950 triệu,Na,"18,4 triệu/m²","9,8 triệu/tháng","Gần chợ, siêu thị
Gần trường học
Di chuyển thuận tiện ra trung tâm"
7,207883,Bán Căn Hộ Chung Cư lầu 4 đường Gò Công - Trung Tâm Quận 5 - Gần chợ Kim Biên,1,1,44.1 m²,Tây,"Đ.Gò Công, P.13, Q.5, Hồ Chí Minh",['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n1\nPhòng tắm\n1\nDiện tích sử dụng\n44.1 m²\nHướng\nTây\nHiện trạng nhà\nĐang ở\nGiấy tờ\nSổ hồng'],1 tỷ,Na,"22,6 triệu/m²","10,32 triệu/tháng","Gần chợ, siêu thị
Gần bệnh viện
Gần công viên, trung tâm
Gần trường học
Di chuyển thuận tiện ra trung tâm
Thiết kế thông thoáng
Khu vực an ninh, yên tĩnh
Sân để xe rộng rãi"
8,315476,Bán nhà nhỏ Quận 6 - Gần chung cư Summer square - Đang cho thuê 3 triệu/ 1 tháng,1,1,10.6 m²,Tây,"Đ.An Dương Vương, P.13, Q.6, Hồ Chí Minh","['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n1\nPhòng tắm\n1\nChiều dài\n3.38 m\nChiều rộng\n2.59 m\nDiện tích đất\n10.6 m²\nDiện tích sử dụng\n10.6 m²\nHướng\nTây\nĐộ rộng hẻm\n0.94 m\nHiện trạng nhà\nĐang cho thuê\nGiấy tờ\nSổ hồng\nNăm xây dựng\n2013\nKết cấu nhà\n1 trệt, 1 lửng, 1 gác suốt']",1 tỷ,"90,1 triệu/m²","94,3 triệu/m²","10,32 triệu/tháng","Gần chợ, siêu thị
Gần công viên, trung tâm
Gần trường học
Di chuyển thuận tiện ra trung tâm
Thiết kế thông thoáng"
9,393792,"Bán  căn hộ Res III, 1PN, 1WC,  Phường Tân Phú, Quận 7",1,1,36 m²,Không xác định,"Đ.Tân Mỹ, P.Tân Phú, Q.7, Hồ Chí Minh",['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n1\nPhòng tắm\n1\nDiện tích sử dụng\n36 m²\nHướng\nKhông xác định\nHiện trạng nhà\nĐể trống\nGiấy tờ\nSổ hồng'],"1,05 tỷ",Na,"29,1 triệu/m²","10,84 triệu/tháng",Na
