,Unnamed: 0,book_name,author,rating_value,rating_num,price_buy_new,price_rent,category,details,rank,tag,tag_in,part_in,asin,asin_url
0,0,Cracking the Coding Interview: 189 Programming Questions and Solutions,Gayle Laakmann McDowell,4.7 out of 5,"8,162 ratings",$35.95,Na,Programming,"ASIN : 0984782850
Publisher : CareerCup; 6th edition (July 1, 2015)
Language : English
Paperback : 687 pages
ISBN-10 : 0984782869
ISBN-13 : 978-0984782857
Item Weight : 2.69 pounds
Dimensions : 7 x 1.59 x 10 inches",,#1 Best Seller,in Job Interviewing,Part of: Cracking the Interview & Career (3 books),0984782850,https://www.amazon.com/dp/0984782850/
1,1,"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",Martin Kleppmann,4.8 out of 5,"3,663 ratings",$47.94,Na,Databases & Big Data,"Publisher : O'Reilly Media; 1st edition (May 2, 2017)
Language : English
Paperback : 611 pages
ISBN-10 : 1449373321
ISBN-13 : 978-1449373320
Item Weight : 2.15 pounds
Dimensions : 7.01 x 1.24 x 9.17 inches",Na,#1 Best Seller,in MySQL Guides,Na,1449373321,https://www.amazon.com/dp/1449373321/
2,2,Machine Learning System Design Interview,Ali Aminian,4.5 out of 5,10 ratings,$38.00,Na,Computer Science,"Publisher : ByeByteGo (January 28, 2023)
Language : English
Paperback : 294 pages
ISBN-10 : 1736049127
ISBN-13 : 978-1736049129
Item Weight : 1.21 pounds
Dimensions : 7 x 0.67 x 10 inches",Na,#1 Best Seller,in Computer Science,Na,1736049127,https://www.amazon.com/dp/1736049127/
3,3,"CompTIA A+ Certification All-in-One Exam Guide, Eleventh Edition (Exams 220-1101 & 220-1102) (The CompTIA A+ Certification All-In-One Exam Guides)",Travis Everett,4.3 out of 5,23 ratings,$54.00,Na,Hardware & DIY,"Publisher : McGraw Hill; 11th edition (January 25, 2023)
Language : English
Hardcover : 1472 pages
ISBN-10 : 1264609906
ISBN-13 : 978-1264609901
Item Weight : 5.34 pounds
Dimensions : 9.4 x 2.1 x 10.2 inches",Na,#1 Best Seller,in CompTIA Certification Guides,Na,1264609906,https://www.amazon.com/dp/1264609906/
4,4,(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide & Practice Tests Bundle,James Michael Stewart,4.8 out of 5,885 ratings,$61.99,Na,Programming,"Publisher : Sybex; 3rd edition (July 7, 2021)
Language : English
ISBN-10 : 1119790026
ISBN-13 : 978-1119790020
Item Weight : 6.19 pounds
Dimensions : 7.4 x 2.7 x 9.2 inches",Na,#1 Best Seller,in Computer Network Security,Na,1119790026,https://www.amazon.com/dp/1119790026/
5,5,CompTIA Security+ Get Certified Get Ahead: SY0-601 Study Guide,Darril Gibson,4.7 out of 5,"1,294 ratings",$37.16,Na,Certification,"ASIN : B096D1LGSK
Publisher : Independently published (June 1, 2021)
Language : English
Paperback : 593 pages
ISBN-13 : 979-8748708180
Item Weight : 2.86 pounds
Dimensions : 8 x 1.34 x 10 inches",Na,#1 Best Seller,in Security Certifications,Na,B096D1LGSK,https://www.amazon.com/dp/B096D1LGSK/
6,6,System Design Interview – An insider's guide,Alex Xu,4.6 out of 5,"2,266 ratings",$38.17,Na,Job Hunting & Careers,"ASIN : B08CMF2CQF
Publisher : Independently published (June 12, 2020)
Language : English
Paperback : 320 pages
ISBN-13 : 979-8664653403
Item Weight : 15.2 ounces
Dimensions : 6 x 0.73 x 9 inches",Na,#1 Best Seller,in Bioinformatics,Na,B08CMF2CQF,https://www.amazon.com/dp/B08CMF2CQF/
7,7,"Python Crash Course, 3rd Edition: A Hands-On, Project-Based Introduction to Programming",Eric Matthes,4.5 out of 5,34 ratings,$40.49,Na,Programming,"Publisher : No Starch Press; 3rd edition (January 10, 2023)
Language : English
Paperback : 552 pages
ISBN-10 : 1718502702
ISBN-13 : 978-1718502703
Reading age : 13 years and up
Lexile measure : 1060L
Grade level : 8 - 12
Item Weight : 13 ounces
Dimensions : 7 x 1.25 x 9.19 inches",Na,#1 Best Seller,in Introductory & Beginning Programming,Na,1718502702,https://www.amazon.com/dp/1718502702/
8,8,System Design Interview – An Insider's Guide: Volume 2,Alex Xu,4.7 out of 5,904 ratings,$38.00,Na,Computer Science,"Publisher : Byte Code LLC (March 11, 2022)
Language : English
Paperback : 434 pages
ISBN-10 : 1736049119
ISBN-13 : 978-1736049112
Item Weight : 1.1 pounds
Dimensions : 7 x 0.98 x 10 inches",,#1 Best Seller,in Computer Systems Analysis & Design,Na,1736049119,https://www.amazon.com/dp/1736049119/
9,9,Fundamentals of Data Engineering: Plan and Build Robust Data Systems,Joe Reis,4.8 out of 5,150 ratings,$38.99,Na,Networking & Cloud Computing,"Publisher : O'Reilly Media; 1st edition (July 26, 2022)
Language : English
Paperback : 446 pages
ISBN-10 : 1098108302
ISBN-13 : 978-1098108304
Item Weight : 1.57 pounds
Dimensions : 7 x 1 x 9.25 inches",Na,#1 Best Seller,in Data Processing,Na,1098108302,https://www.amazon.com/dp/1098108302/
